merk,veld,besluit,reden,staat,bron
Eeuwenhout,city,wordt vervangen,bronsterkte 1 tegen 9,Temse,Temse Velle
ENCI,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.heidelbergmaterials-benelux.com/nl/nederland-cement,enci.nl
ENCI,email,wordt vervangen,bronsterkte 1 tegen 9,tv@enci.nl,info@enci.nl
ENCI,phone,wordt vervangen,bronsterkte 1 tegen 9,+31(0)73 - 64 01 220,+31736401213
ENCI,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 3323,Sint Teunislaan 1
ENCI,city,wordt vervangen,bronsterkte 1 tegen 9,’s-Hertogenbosch,Hertogenbosch
EUROLACKE B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.eurolacke.com/nl,eurolacke.nl
Fetim Group BV,email,wordt vervangen,bronsterkte 1 tegen 9,info@fetimgroup.com,info@nl.fetimgroup.com
Fetim Group BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)20 58 05 333,+31205805285
Fetim Group BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,P.O.box 770,Kopraweg 1
FINSA,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Westerhavenweg 12,Westerhavenweg 12 Buitenhaven
Flaxcomposites,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"CETI, Innotex, 41 rue des Métissages",Rue Des Metissages 41
Flaxcomposites,postcode,wordt vervangen,bronsterkte 1 tegen 9,CS 70314,59336
Flaxcomposites,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Tourcoing Cedex,Tourcoing
nora by interface,city,NIET vervangen,brondatum 2016-01-27 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel Gld
Unilin Flooring Nederland - Projecten,website,NIET vervangen,brondatum 2016-01-27 tegen 2025-03-04,pro.moduleo.com,moduleo.com
Unilin Flooring Nederland - Projecten,phone,NIET vervangen,brondatum 2016-01-27 tegen 2025-03-04,+31631001249,+3256653231
Unilin Flooring Nederland - Projecten,address_line_1,NIET vervangen,brondatum 2016-01-27 tegen 2025-03-04,Unilin Flooring Nederland,Nijverheidslaan 29
Unilin Flooring Nederland - Projecten,city,NIET vervangen,brondatum 2016-01-27 tegen 2025-03-04,Rotterdam,Avelgem
Unilin Flooring Nederland - Projecten,country,NIET vervangen,brondatum 2016-01-27 tegen 2025-03-04,NL,BE
Keramia,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,"Postbus 43
Hardinxveld Giessendam",Postbus 43
Keramia,city,vult leeg veld,,,Hardinxveld Giessendam
LANDER,phone,vult leeg veld,,,+31416280246
LANDER,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Florijnstraat 4,Modelleur 4
LANDER,postcode,wordt vervangen,bronsterkte 1 tegen 9,4903 RM,5171 SL
LANDER,city,wordt vervangen,bronsterkte 1 tegen 9,Oosterhout,Kaatsheuvel
Leeuwerik Plaat BV,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,"Postbus 9717
Achtseweg Noord 8, 5602LS",Postbus 9717
Merford,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 183 643 800,+31183675000
Merford,postcode,wordt vervangen,bronsterkte 1 tegen 9,4207HZ,4200 AD
Metadecor,email,wordt vervangen,bronsterkte 1 tegen 9,sales@metadecor.eu,informatie@metadecor.nl
Metadecor,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Eckertstraat 75,Spoorstraat 43
Metadecor,postcode,wordt vervangen,bronsterkte 1 tegen 9,8263 CB,8271 RG
Metadecor,city,wordt vervangen,bronsterkte 1 tegen 9,Kampen,IJsselmuiden
Michel Oprey – Quarella,postcode,wordt vervangen,bronsterkte 1 tegen 9,6101 AB,6100 AD
Mindow Maastricht,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.mindow.nl,mindow.com
Mindow Maastricht,phone,wordt vervangen,bronsterkte 1 tegen 9,043 - 711 22 33,+31611336335
Mindow Maastricht,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 4332,Kruisweg 46
Mindow Maastricht,postcode,wordt vervangen,bronsterkte 1 tegen 9,6202VA,6231 RK
Mindow Maastricht,city,wordt vervangen,bronsterkte 1 tegen 9,Maastricht,Meern
modulyss,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 52 80 80 80,+3252454858
modulyss,postcode,wordt vervangen,bronsterkte 1 tegen 9,9240,B B9240
Nevra Benelux,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.nevra.nl,nevra.com.tr
Nevra Benelux,email,wordt vervangen,bronsterkte 1 tegen 9,info@nevra.nl,info@nevra.com.tr
Nevra Benelux,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 6 22243166,+902164573600
NORA BY INTERFACE,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industrielaan 15,Belgiumstraat 14
NORA BY INTERFACE,postcode,wordt vervangen,bronsterkte 1 tegen 9,3925 BD,5171 PN
NORA BY INTERFACE,city,wordt vervangen,bronsterkte 1 tegen 9,Scherpenzeel,Kaatsheuvel
Richard Wernekinck BV (Hollandfelt),address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Hugo de Grootstraat 175,Buitenwatersloot 71
Richard Wernekinck BV (Hollandfelt),postcode,wordt vervangen,bronsterkte 1 tegen 9,2613 VS,2613 TB
Roba Metals B.V.,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.robametals.nl,robametals.com
Roba Metals B.V.,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)30 686 0211,+31306860296
Rockfon (Rockwool),website,wordt vervangen,bronsterkte 1 tegen 9,http://www.rockfon.com,rockfon.nl
Rometa Metaalproducten,postcode,wordt vervangen,bronsterkte 1 tegen 9,406 XT,5406 XT
Sedacor JPSCORK Group,email,wordt vervangen,bronsterkte 1 tegen 9,jps@jpscorkgroup.com,sedacor@jpscorkgroup.com
Sedacor JPSCORK Group,phone,vult leeg veld,,,+351227470590
Sedacor JPSCORK Group,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,"Jorge Pinto de Sá, Lda
Rua Cruz de Malta, 110",Rua Nova Do Lameiro 184
Sedacor JPSCORK Group,postcode,wordt vervangen,bronsterkte 1 tegen 9,P.O. Box 435,4535-489
Sedacor JPSCORK Group,city,wordt vervangen,bronsterkte 1 tegen 9,Rio Meão,S.Paio De Oleiros
Sonae Indústria,address_line_1,vult leeg veld,,,Edisonweg 8A
Sonae Indústria,postcode,vult leeg veld,,,3442 AC
Sonae Indústria,city,vult leeg veld,,,Woerden
Sphinx Tegels,phone,wordt vervangen,bronsterkte 1 tegen 9,+43 368 34 34,+31433683434
Sphinx Tegels,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 510,Australielaan 21-25
Sphinx Tegels,city,wordt vervangen,bronsterkte 1 tegen 9,Beek,Maastricht
Steuler-Fliesen,website,vult leeg veld,,,steuler-fliesen.com
Steuler-Fliesen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industriestraße 78,Industriestrasse 78
Steuler-Fliesen,city,wordt vervangen,bronsterkte 1 tegen 9,Mühlacker,Muhlacker
Sto Isoned BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Lingewei 107,Lingwei 107
Sto Isoned BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,4004 LH,4000 HK
The Wool Studio,phone,NIET vervangen,brondatum 2016-01-27 tegen 2024-03-06,+31704062146,+31854014986
Twentinox,postcode,wordt vervangen,bronsterkte 1 tegen 9,7553 GS,7550 AA
Twentinox,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Hengelo OV,Hengelo
Unilin Panels,email,wordt vervangen,bronsterkte 1 tegen 9,marketing.panels@unilin.com,info.panels@unilin.com
Unilin Panels,phone,wordt vervangen,bronsterkte 1 tegen 9,+32 (0)56 66 70 21,+3156667021
Unilin Panels,postcode,wordt vervangen,bronsterkte 1 tegen 9,8780,B 8780
Therdex PVC vloeren,email,wordt vervangen,bronsterkte 1 tegen 9,info@therdex.nl,info@besouw.nl
Therdex PVC vloeren,phone,NIET vervangen,brondatum 2016-01-27 tegen 2024-03-06,+31383857373,+31383858818
Therdex PVC vloeren,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Sasdijk 14,Puttenstraat 3
Therdex PVC vloeren,postcode,wordt vervangen,bronsterkte 1 tegen 9,8281 BM,8281 BP
Van Straaten,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Boesingheliede (Schiphol Airport),Boesingheliede
Winter Creation,postcode,wordt vervangen,bronsterkte 1 tegen 9,CH-4143,4142
Winter Creation,city,wordt vervangen,bronsterkte 1 tegen 9,Münchenstein,Munchenstein
