merk,veld,besluit,reden,staat,bron
Studio Wae,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Rumpsterweg 31,Oude Houtensepad 1
Studio Wae,postcode,wordt vervangen,bronsterkte 1 tegen 9,3981 AK,3582 CW
Studio Wae,city,wordt vervangen,bronsterkte 1 tegen 9,Bunnik,Utrecht
KME Germany GmbH,phone,wordt vervangen,bronsterkte 1 tegen 9,+49 541 321-0,+495413212000
Sileather,phone,vult leeg veld,,,+33689829687
Eeuwenhout,phone,NIET vervangen,brondatum 2023-03-08 tegen 2025-02-26,+323237106640,+32475960987
EASYfelt,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Gessel 62,Emille hullebroeckstraat 40
EASYfelt,postcode,wordt vervangen,bronsterkte 1 tegen 9,3454 MZ,3543 BZ
EASYfelt,city,NIET vervangen,brondatum 2023-03-08 tegen 2025-02-26,Utrecht,Terwijde
Impact Acoustic AG,phone,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,+4141415665555,+41415665555
Coffee Based B.V.,phone,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,+31850608570,+31643987706
Coffee Based B.V.,address_line_1,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,Krinkelwinkel 23 a,Martinus Nijhofflaan 256
Coffee Based B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,4202 LM,2624 ME
Coffee Based B.V.,city,wordt vervangen,bronsterkte 1 tegen 9,Gorinchem,Delft
Pantoni,phone,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,+31348558120,+31348220800
Pantoni,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,4e Industrieweg 9,4e Industrieweg
Pantoni,postcode,wordt vervangen,bronsterkte 1 tegen 9,3411 MC,3411 JH
NPSP BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 235 512 328,+31627172994
NPSP BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Bruningstraat 10,Moezelhavenweg 9
NPSP BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,4251 LA,1043 AM
NPSP BV,city,wordt vervangen,bronsterkte 1 tegen 9,Werkendam,Amsterdam
Humade,address_line_1,vult leeg veld,,,zachariasjansenstraat 54
Humade,postcode,vult leeg veld,,,AMSTERDAM
Humade,city,vult leeg veld,,,amsterdam
Circuform BV,address_line_1,NIET vervangen,brondatum 2023-03-08 tegen 2026-03-09,Lekdijk 58,Vlasakkerweg 30
Circuform BV,postcode,NIET vervangen,brondatum 2023-03-08 tegen 2026-03-09,3998 NJ,3811 MS
Circuform BV,city,NIET vervangen,brondatum 2023-03-08 tegen 2026-03-09,Schalkwijk,Amersfoort
Studio Simone Post,phone,vult leeg veld,,,+31651964468
Studio Vera Nooijen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Wertemerweg 6,Peelhorst 4
Studio Vera Nooijen,postcode,wordt vervangen,bronsterkte 1 tegen 9,5977 ND,5754 GR
Studio Vera Nooijen,city,wordt vervangen,bronsterkte 1 tegen 9,Evertsoord,Deurne
DecoLegno BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Rak 139,Paardenakker 2
DecoLegno BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,1551 NA,1531 SR
DecoLegno BV,city,wordt vervangen,bronsterkte 1 tegen 9,Westzaan,Wormer
Graz University of Technology,phone,wordt vervangen,bronsterkte 1 tegen 9,0043 316 873 4736,+43436649000000
Graz University of Technology,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Kronesgasse 5/3,Kronesgasse 5
Burned Wood B.V.,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Jaargetijdenweg 44,Brinkstraat 63
Burned Wood B.V.,postcode,wordt vervangen,bronsterkte 1 tegen 9,7532 SX,7581 GB
Burned Wood B.V.,city,NIET vervangen,brondatum 2023-03-08 tegen 2026-02-04,Enschede,Losser
Wageningen Food & Biobased Research,address_line_1,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,Bornse Weilanden 9,BORNSE WEILEANDEN 9
Connection Walls,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Langestraat 224,Brusselsesteenweg 169
Connection Walls,postcode,wordt vervangen,bronsterkte 1 tegen 9,9240,9280
Connection Walls,city,wordt vervangen,bronsterkte 1 tegen 9,Zele,Lebbeke
Vescom BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Sint Jozefstraat 20,St Jozefstraat 20
Crush on Nature,address_line_1,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,Quarantaineweg 1 G 04,Quarantaineweg 1 G 4
The Good Plastic Company B.V.,phone,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,+31208943848,+31203991260
OVPolymers,address_line_1,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,Chroomstraat 5 D,De Ruiter 2
OVPolymers,postcode,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,8211 AS,8252 EA
OVPolymers,city,NIET vervangen,brondatum 2023-03-08 tegen 2024-03-06,Lelystad,Dronten
Sparkling Plastic,phone,vult leeg veld,,,+31648175437
Sparkling Plastic,address_line_1,vult leeg veld,,,Landhuizenlaan
Sparkling Plastic,postcode,vult leeg veld,,,5235 HP
Sparkling Plastic,city,vult leeg veld,,,Den Bosch
Sebastiaan Baar,phone,vult leeg veld,,,+31630953219
Sebastiaan Baar,address_line_1,vult leeg veld,,,Verlengde visserstraat 1a
Sebastiaan Baar,postcode,vult leeg veld,,,9718 JA
Sebastiaan Baar,city,vult leeg veld,,,Groningen
