merk,veld,besluit,reden,staat,bron
Baars & Bloemhoff,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,"Schaverijstraat, 9E",Laagraven 44
Bamboo XL,email,wordt vervangen,bronsterkte 1 tegen 9,info@bambooacoustics.nl,info@bambooxl.nl
Bamboo XL,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 20 4932323,+31615370400
Bamboo XL,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Kabelweg 50,Klapbrugweg 6
Bamboo XL,postcode,wordt vervangen,bronsterkte 1 tegen 9,1014 BB,1332 AK
Bamboo XL,city,wordt vervangen,bronsterkte 1 tegen 9,Amsterdam,Almere
Barrisol,email,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,info@barrimore.nl,info@barrisol.com
Barrisol,phone,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,+31850603332,+33389832020
Barrisol,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,Aambeeldstraat 10,Route du Sipes
Barrisol,postcode,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,1021,68680
Barrisol,city,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,KBAmsterdam,Kembs
Barrisol,country,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,NL,FR
Brinkman Baksteencentrum,email,wordt vervangen,bronsterkte 1 tegen 9,info@brinkmanbaksteencentrum.nl,info@morssinkhof-groep.nl
Bruynzeel Multipanel,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)75 6 55 42 00,+31756554220
Buxkin-Group B.V.,phone,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,+31651526182,+31578610707
Buxkin-Group B.V.,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Terminalweg 15,Postbus 203
Buxkin-Group B.V.,postcode,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,3821 AJ,8160 AE
Buxkin-Group B.V.,city,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Amersfoort,Epe
Ceramiche Refin Spa,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.refin-ceramic-tiles.com/,refin-tegels.nl
Ceramiche Refin Spa,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Via I Maggio 22,"Via I Maggio n.22, Salvaterra"
Ceramiche Refin Spa,city,wordt vervangen,bronsterkte 1 tegen 9,Salvaterra di Casalgrande (RE),Casalgrande (RE)
Creative Cladding bv,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.creativecladding.com,creativcladding.nl
Creative Cladding bv,email,wordt vervangen,bronsterkte 1 tegen 9,info@creativecladding.com,info@creativcladding.nl
De Nis,website,wordt vervangen,bronsterkte 1 tegen 9,de-nis.com,koperinarchitectuur.nl
DecoLegno BV,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,Industrieweg 13A,Parklaan 35-37
DecoLegno BV,postcode,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,1521 NC,1544 AK
DecoLegno BV,city,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,Wormerveer,Zaandijk
Desso BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31416684117,+31416684100
Desso BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,5140 AD,5142 PA
DLW Flooring,website,wordt vervangen,bronsterkte 1 tegen 9,dlwflooring.nl,dlwflooring.com
DLW Flooring,email,wordt vervangen,bronsterkte 1 tegen 9,commercial-flooring-nl@dlwflooring.com,service_netherlands@dlwflooring.com
DLW Flooring,phone,wordt vervangen,bronsterkte 1 tegen 9,+31735039446,+31735039440
DLW Flooring,city,wordt vervangen,bronsterkte 1 tegen 9,Hertogenbosch,'s-Hertogenbosch
Eeuwenhout,postcode,wordt vervangen,bronsterkte 1 tegen 9,B 9140,9140
Eeuwenhout,city,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Temse Velle,Temse
Euramax BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31475370301,+31475370303
Euramax BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,6040 AA,6045 JG
FINSA,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,Westerhavenweg 12 Buitenhaven,Westerhavenweg 12
Forbo Flooring,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.forbo.com/flooring/nl-nl/,forbo-flooring.nl
Forbo Flooring,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 75 6477880,+31756477477
Forbo Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industrieweg 12,Postbus 13
Forbo Flooring,postcode,wordt vervangen,bronsterkte 1 tegen 9,1566 JP,1560 AA
Forbo Flooring,city,wordt vervangen,bronsterkte 1 tegen 9,Assendelft,Krommenie
Foreco,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Dalmsholterweg 5,Postbus 73
Foreco,postcode,wordt vervangen,bronsterkte 1 tegen 9,7722 KJ,7720 AB
Formica Benelux,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)70 710 0150,+31704134820
Formica Benelux,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Nieuw-Mathenesserstraat 69,11 Silver Fox Way
Formica Benelux,postcode,wordt vervangen,bronsterkte 1 tegen 9,3113 AE,NE27 0QJ
Formica Benelux,city,wordt vervangen,bronsterkte 1 tegen 9,Schiedam,Newcastle upon Tyne
Formica Benelux,country,wordt vervangen,bronsterkte 1 tegen 9,NL,GB
Genesis Product Development BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,1565 PM,1561 PM
Glazing Vision Europe,website,wordt vervangen,bronsterkte 1 tegen 9,http://www.glazingvision.eu,glazingvision.nl
Hunter Douglas Architectural Nederland,website,wordt vervangen,bronsterkte 1 tegen 9,https://www.hunterdouglasarchitectural.eu/nl-nl,hunterdouglas.nl
Interface,city,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,3925BDScherpenzeel,Scherpenzeel
IVC,website,NIET vervangen,brondatum 2017-02-06 tegen 2025-03-04,pro.moduleo.com,moduleo.nl
IVC,phone,NIET vervangen,brondatum 2017-02-06 tegen 2025-03-04,+31631001249,+3256653211
IVC,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2025-03-04,Unilin Flooring Nederland,Nijverheidslaan 29
IVC,postcode,wordt vervangen,bronsterkte 1 tegen 9,B 8580,8580
IVC,city,NIET vervangen,brondatum 2017-02-06 tegen 2025-03-04,Rotterdam,Avelgem
IVC,country,NIET vervangen,brondatum 2017-02-06 tegen 2025-03-04,NL,BE
Façade Beek,city,wordt vervangen,bronsterkte 1 tegen 9,Beek,Beek Lb
Kobefab International BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+31 (0)40 2078445,+31402078400
Kooy Baksteencentrum BV,phone,vult leeg veld,,,+31302259800
Kooy Baksteencentrum BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Rembrandtlaan 38,Postbus 198
Kooy Baksteencentrum BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,3723 BJ,3720 AD
Merford Acoustic Control,phone,wordt vervangen,bronsterkte 1 tegen 9,+31183675000,+31183643800
Merford Acoustic Control,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Franklinweg 8,Postbus 160
Michel Oprey & Beisterveld,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Havenweg 18,Postbus 157
Modulyss,phone,wordt vervangen,bronsterkte 1 tegen 9,+3252454858,+3252808080
Modulyss,postcode,wordt vervangen,bronsterkte 1 tegen 9,B B9240,9240
Mosa,email,wordt vervangen,bronsterkte 1 tegen 9,info@mosa.com,info@mosa.nl
Mosa,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Meerssenerweg 358,Postbus 1026
Mosa,postcode,wordt vervangen,bronsterkte 1 tegen 9,6224 AL,6201 BA
Moso International,website,NIET vervangen,brondatum 2017-02-06 tegen 2026-03-09,moso-bamboo.com,moso.eu
Moso International,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,De Marowijne 43,Adam Smithweg 2
Moso International,postcode,wordt vervangen,bronsterkte 1 tegen 9,1689 AR,1689 ZW
Mostert de Winter,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Postbus 12,Westbroek 49B
Mostert de Winter,postcode,wordt vervangen,bronsterkte 1 tegen 9,4840 AA,4822 ZX
Mostert de Winter,city,wordt vervangen,bronsterkte 1 tegen 9,Prinsenbeek,Breda
Coco Mosaic,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Argon 25,Belder 27
Coco Mosaic,postcode,wordt vervangen,bronsterkte 1 tegen 9,4751 XC,4704 RK
NedZink BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Hoofdstraat 1,Postbus 2135
NedZink BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,6024 AA,6020 AC
Nevra Benelux BV,website,wordt vervangen,bronsterkte 1 tegen 9,nevra.com.tr,nevra.nl
Nevra Benelux BV,email,wordt vervangen,bronsterkte 1 tegen 9,info@nevra.com.tr,info@nevra.nl
Nevra Benelux BV,phone,wordt vervangen,bronsterkte 1 tegen 9,+902164573600,+31356781880
Nora Flooring,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Belgiumstraat 14,Belgiëstraat 14
Optigroen,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Koperslager 33,Nijverheidsweg Noord 60.85
Optigroen,postcode,wordt vervangen,bronsterkte 1 tegen 9,3861 SJ,3812 PM
Optigroen,city,wordt vervangen,bronsterkte 1 tegen 9,Nijkerk,Amersfoort
Riverclack BV,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Industrieweg 9c,Stationsplein 91
Riverclack BV,postcode,wordt vervangen,bronsterkte 1 tegen 9,5262 GJ,5211 BM
Riverclack BV,city,wordt vervangen,bronsterkte 1 tegen 9,Vught,'s-Hertogenbosch
Roba Metals,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Zomerdijk 27-33,Postbus 36
Roba Metals,postcode,wordt vervangen,bronsterkte 1 tegen 9,3402 MJ,3400 AA
Sto Isoned,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Lingwei 107,Lingewei 107
Sto Isoned,postcode,wordt vervangen,bronsterkte 1 tegen 9,4000 HK,4004 LK
Tata Steel,website,wordt vervangen,bronsterkte 1 tegen 9,tatasteelbouw.nl,tatasteel.nl
Tata Steel,phone,wordt vervangen,bronsterkte 1 tegen 9,+31251494500,+31251492206
Tata Steel,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Wenckebachstraat 1,Postbus 10000
Tata Steel,postcode,wordt vervangen,bronsterkte 1 tegen 9,1951 JZ,1970 CA
Tata Steel,city,wordt vervangen,bronsterkte 1 tegen 9,Velsen Noord,IJmuiden
Technowood,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Emek Mah. Nato Yolu Cad. no 319/1,Emek Mh. Natoyolu Cd. 319/1
Technowood,postcode,wordt vervangen,bronsterkte 1 tegen 9,34758,34785
The Mosaic Factory,phone,wordt vervangen,bronsterkte 1 tegen 9,0031 88 5 064064,+31137681170
The Mosaic Factory,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Canadabaan 7,Industrieweg 20A
The Mosaic Factory,postcode,wordt vervangen,bronsterkte 1 tegen 9,5388 RT,6871 KA
The Mosaic Factory,city,wordt vervangen,bronsterkte 1 tegen 9,Nistelrode,Renkum
The Wool Studio,phone,NIET vervangen,brondatum 2017-02-06 tegen 2024-03-06,+31704062146,+31854014986
VeroMetal®,phone,NIET vervangen,brondatum 2017-02-06 tegen 2022-03-17,+31455313080,+31495453974
VeroMetal®,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Buizerdweg 6a,Windmolen 46
VeroMetal®,postcode,wordt vervangen,bronsterkte 1 tegen 9,6374 BS,6003 BK
VeroMetal®,city,wordt vervangen,bronsterkte 1 tegen 9,Landgraaf,Weert
Vescom,website,wordt vervangen,bronsterkte 1 tegen 9,vescom.com,vescom.nl
Vyva Fabrics,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,TT. Vasumweg 140,Frankfurtstraat 29-31
Vyva Fabrics,postcode,wordt vervangen,bronsterkte 1 tegen 9,1033 SH,1175 RH
Vyva Fabrics,city,wordt vervangen,bronsterkte 1 tegen 9,Amsterdam,Lijnden
Warmteplan,address_line_1,wordt vervangen,bronsterkte 1 tegen 9,Mercuriusweg 5,Postbus 20
wineo,email,vult leeg veld,,,info@wineo.de
wineo,phone,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,+31306351000,+4952376090
wineo,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Sasdijk 14,Nord-West-Ring 21
wineo,postcode,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,8281 BM,32832
wineo,city,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Genemuiden,Augustdorf
wineo,country,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,NL,DE
SINH Building Solutions,email,wordt vervangen,bronsterkte 1 tegen 9,sales@sinhbuild.com,info@sinhbuild.com
SINH Building Solutions,address_line_1,NIET vervangen,bronwaarde is korter en zit in de bestaande waarde,"Saturnusstraat 60, Unit 67",Saturnusstraat 60
SINH Building Solutions,city,wordt vervangen,bronsterkte 1 tegen 9,The Hague,Den Haag
Zwarthout | Shou Sugi Ban,phone,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,+31343768959,+31627848952
Zwarthout | Shou Sugi Ban,address_line_1,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Middelweg 85,Edmond Halleylaan 46
Zwarthout | Shou Sugi Ban,postcode,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,3956 TL,1086 ZV
Zwarthout | Shou Sugi Ban,city,NIET vervangen,brondatum 2017-02-06 tegen 2025-02-26,Leersum,Amsterdam
